name,age,position,club,market_value,profile_url,matches,goals,assists,yellow_cards,second_yellows,red_cards,minutes_played,goals_conceded,clean_sheets,competition_stats
Jude Bellingham,Jude Bellingham,Jude BellinghamAttacking Midfield,Unknown club,€180.00m,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,Attacking Midfield,21,,,€180.00m,15,2,0,4,{}
Lamine Yamal,Lamine Yamal,Lamine YamalRight Winger,Unknown club,€150.00m,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,Right Winger,17,,,€150.00m,19,6,0,9,{}
Florian Wirtz,Florian Wirtz,Florian WirtzAttacking Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577,Attacking Midfield,21,,,€130.00m,21,8,0,4,{}
Jamal Musiala,Jamal Musiala,Jamal MusialaAttacking Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,Attacking Midfield,21,,,€130.00m,16,10,0,7,{}
Gavi,Gavi,GaviCentral Midfield,Unknown club,€90.00m,https://www.transfermarkt.com/gavi/profil/spieler/646740,Central Midfield,20,,,€90.00m,6,0,0,0,{}
Pedri,Pedri,PedriCentral Midfield,Unknown club,€80.00m,https://www.transfermarkt.com/pedri/profil/spieler/683840,Central Midfield,21,,,€80.00m,21,3,0,2,{}
Xavi Simons,Xavi Simons,Xavi SimonsAttacking Midfield,Unknown club,€80.00m,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931,Attacking Midfield,21,,,€80.00m,15,4,0,2,{}
Rasmus Højlund,Rasmus Højlund,Rasmus HøjlundCentre-Forward,Unknown club,€65.00m,https://www.transfermarkt.com/rasmus-hojlund/profil/spieler/610442,Centre-Forward,21,,,€65.00m,14,2,0,0,{}
Endrick,Endrick,EndrickCentre-Forward,Unknown club,€60.00m,https://www.transfermarkt.com/endrick/profil/spieler/971570,Centre-Forward,18,,,€60.00m,10,2,0,1,{}
Warren Zaïre-Emery,Warren Zaïre-Emery,Warren Zaïre-EmeryCentral Midfield,Unknown club,€60.00m,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,Central Midfield,18,,,€60.00m,16,2,0,1,{}
João Neves,João Neves,João NevesDefensive Midfield,Unknown club,€60.00m,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,Defensive Midfield,20,,,€60.00m,17,1,0,6,{}
Leny Yoro,Leny Yoro,Leny YoroCentre-Back,Unknown club,€55.00m,https://www.transfermarkt.com/leny-yoro/profil/spieler/923831,Centre-Back,19,,,€55.00m,0,0,0,0,{}
Kobbie Mainoo,Kobbie Mainoo,Kobbie MainooCentral Midfield,Unknown club,€55.00m,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,Central Midfield,19,,,€55.00m,10,0,0,0,{}
